Time,"north dakota,divide","north dakota,williams","north dakota,mckenzie","north dakota,golden valley","north dakota,slope","north dakota,bowman","south dakota,harding","north dakota,billings","north dakota,stark","north dakota,dunn","north dakota,burke","north dakota,hettinger","north dakota,adams","south dakota,perkins","north dakota,mountrail","north dakota,mclean","north dakota,ward","north dakota,mercer","north dakota,renville","north dakota,morton","north dakota,grant","south dakota,corson","north dakota,sioux","north dakota,oliver","north dakota,bottineau","north dakota,mchenry","north dakota,burleigh","north dakota,sheridan","north dakota,emmons","south dakota,campbell","north dakota,pierce","north dakota,rolette","north dakota,kidder","north dakota,wells","north dakota,logan","north dakota,benson","north dakota,mcintosh","south dakota,mcpherson","north dakota,towner","north dakota,stutsman","north dakota,ramsey","north dakota,eddy","north dakota,foster","north dakota,la moure","north dakota,dickey","north dakota,cavalier","south dakota,brown","north dakota,nelson","north dakota,griggs","north dakota,barnes","north dakota,walsh","north dakota,ransom","north dakota,sargent","north dakota,pembina","north dakota,steele","south dakota,marshall","north dakota,grand forks","north dakota,cass","north dakota,traill","north dakota,richland","south dakota,roberts","minnesota,kittson","minnesota,marshall","minnesota,polk"
1/1/2005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/9/2005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/17/2005,NaN,NaN,NaN,0.097987752,0.065478658,0.082915772,0.049928419,0.102362206,0.087106299,NaN,NaN,0.043853894,0.029658792,0.042996271,NaN,NaN,NaN,NaN,NaN,NaN,0.048622048,0.053805775,0.070303713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/25/2005,NaN,NaN,0.136811023,0.083566167,0.064048397,0.060248151,0.061202577,0.112298463,0.082357949,0.141732285,NaN,0.054790027,0.049868767,0.050248654,NaN,NaN,NaN,0.204724407,NaN,0.089051369,0.041068396,0.03937008,0.042257219,NaN,NaN,NaN,NaN,NaN,0.047244096,0.046528276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2/2/2005,NaN,NaN,0.16732284,0.080010161,0.049452661,0.062851519,0.069939786,0.104073948,0.059733914,0.250000002,NaN,0.052930884,0.0564757,0.063098532,NaN,NaN,NaN,NaN,NaN,0.189061965,0.079434924,0.166666668,0.09715146,NaN,NaN,NaN,0.196850393,NaN,0.163614722,0.163854519,NaN,NaN,NaN,NaN,0.183727033,NaN,0.115485566,0.134645668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.132344033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2/10/2005,NaN,NaN,0.136779273,0.075565152,0.073074708,0.070627535,0.090551182,0.099190727,0.048326772,0.124179791,NaN,0.061242346,0.057349082,0.049212599,NaN,0.26771653,NaN,0.145669292,NaN,0.096894139,0.051258299,0.059805025,0.045738769,0.128796401,NaN,NaN,0.144155058,NaN,0.094305073,0.069496748,NaN,NaN,NaN,NaN,0.112204725,NaN,0.113567535,0.123561478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.137270341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2/18/2005,NaN,NaN,0.183796104,0.103124207,0.070866143,0.086375567,0.105672871,0.137795277,0.06722441,0.166127672,NaN,0.054133859,0.064829397,0.059161524,NaN,0.2007874,NaN,0.091426072,NaN,0.08194809,0.047938861,0.060216859,0.067287044,0.113278454,NaN,NaN,0.194663166,NaN,0.158136482,0.099901576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.139763783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.186351707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2/26/2005,NaN,0.20734908,0.180568531,0.106680213,0.104666795,0.098425197,0.095382964,0.129265092,0.093110237,0.174162551,NaN,0.076881015,0.061154856,0.072731041,0.16929133,0.125521076,0.16929134,0.124094489,NaN,0.093321669,0.060830632,0.078309548,0.070287171,0.100787403,NaN,0.166338578,0.114620615,0.24409449,0.08783902,0.082222896,NaN,NaN,0.106657123,0.114173226,0.088582678,NaN,0.076552933,0.096456694,NaN,0.114173226,NaN,NaN,NaN,NaN,NaN,NaN,0.121352478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3/6/2005,NaN,0.393700775,0.174849466,0.198687662,0.23140857,0.345894259,0.187664043,0.209223841,0.172154616,0.124373657,NaN,0.031988189,0.115157481,0.169448819,NaN,0.115704287,0.178149609,0.104509665,NaN,0.036947305,0.033020066,0.041732284,0.033464567,0.039370079,NaN,0.155793026,0.100537738,0.143700785,0.081102362,NaN,NaN,NaN,0.141732283,0.102362205,NaN,NaN,NaN,0.168353955,NaN,0.05905512,NaN,NaN,NaN,NaN,NaN,NaN,0.17733653,NaN,NaN,NaN,NaN,0.44685039,0.24015749,NaN,NaN,0.23622047,NaN,NaN,NaN,NaN,0.22047244,NaN,NaN,NaN
3/14/2005,NaN,NaN,NaN,NaN,0.127952753,NaN,NaN,NaN,0.15748031,NaN,NaN,0.144094489,0.086614175,0.096456695,NaN,NaN,0.409448805,0.210629925,NaN,0.174671916,0.090082491,0.136980723,0.163984938,0.22834645,NaN,0.496062993,0.53149605,NaN,0.273129918,0.277952753,NaN,NaN,0.31496063,0.27559054,NaN,NaN,NaN,0.379265094,NaN,0.369291332,NaN,NaN,NaN,0.218503935,0.191123837,NaN,0.191601051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23622047,NaN,NaN,NaN,NaN,0.195538057,NaN,NaN,NaN
3/22/2005,0.205708663,0.106102363,0.062007875,0.078425197,0.124234472,0.093134844,0.100659716,0.141294837,0.103018372,0.10192476,NaN,0.097769029,0.093659347,0.066802135,0.234251965,0.137401576,0.27559054,0.081019479,NaN,0.115485566,NaN,0.048031496,0.21751968,0.046369204,NaN,NaN,0.20647419,NaN,0.150435143,0.121425611,NaN,NaN,0.230708662,0.133202103,0.178346456,NaN,0.161679791,0.172606714,NaN,0.146146505,NaN,NaN,0.112204725,0.121609801,0.127829725,NaN,0.125615157,NaN,NaN,0.10376828,NaN,0.126365253,0.10761155,NaN,0.19291338,0.129546309,NaN,0.164161299,NaN,0.144192915,0.109251969,NaN,NaN,NaN
