,Date,Adams,Billings,Bottineau,Bowman,Burke,Divide,Dunn,Golden.Valley,Hettinger,McHenry,McKenzie,McLean,Mercer,Mountrail,Renville,Slope,Stark,Ward,Williams
13,1-2003,0,464134,11754,478186,176674,140302,120438,31207,0,0,1155179,3791,0,131502,11858,16546,206712,1432,1866155
14,2-2003,0,419568,10627,429892,154313,119044,107428,29780,0,0,1016720,3383,0,108719,11173,16031,182422,1325,1689409
15,3-2003,0,478097,11624,498432,172782,127769,113247,31697,0,0,1104264,3729,0,125969,11823,15364,197730,1569,1856326
16,4-2003,0,500613,11146,453340,185840,128998,107310,32690,0,0,1072587,3378,0,119882,11533,11217,185507,1472,1669858
17,5-2003,0,527638,11784,504410,195606,144617,106409,32844,0,0,1138469,3496,0,125068,11266,10902,185437,1527,1682029
18,6-2003,0,519066,11217,511275,181145,138217,110451,29600,0,0,1131853,3637,0,117580,11348,10789,180905,1506,1811541
19,7-2003,0,544517,11815,513815,186950,126182,118382,34085,0,0,1179718,3537,0,115222,11086,10604,184599,1655,1868818
20,8-2003,0,515539,11513,517291,195424,130967,115456,32403,0,0,1149044,3440,0,102925,12350,10433,177210,1709,1944526
21,9-2003,0,500283,11321,493358,181564,122321,106951,30663,0,0,1169078,3610,0,103615,11521,10206,163684,1577,2048936
22,10-2003,0,529419,11727,502349,200699,138605,111269,33621,0,0,1161450,3669,0,115409,11717,10329,164744,1485,2005397
23,11-2003,0,498589,11347,488382,182751,111493,101572,32483,0,0,1137740,3311,0,106189,11210,9589,146697,1466,2194828
24,12-2003,0,529196,10143,557502,179297,136039,109689,33354,0,0,1159492,3664,0,109953,10460,9495,140655,1584,2178940
25,1-2004,0,507316,10115,572451,157781,112450,110147,33554,0,0,1096902,3304,0,107770,10130,8177,158767,1403,2257694
26,2-2004,0,474701,9120,517394,139744,102303,95458,32133,0,0,1014295,3206,0,105033,9255,7893,151132,1060,2020627
27,3-2004,0,509527,9605,582216,191621,108338,110503,32058,0,0,1140472,3625,0,111180,10278,9363,163341,776,2086631
28,4-2004,0,556831,9262,550608,195769,135761,101634,34089,0,0,1136282,2835,0,108938,10026,9736,159134,706,1897376
29,5-2004,0,536009,9393,568411,204837,167730,105486,32968,0,0,1123821,3348,0,107589,9698,11546,163478,1027,1723593
30,6-2004,0,551321,9074,530003,203303,149161,99448,33379,0,0,1099417,3463,0,114365,9172,12207,147343,883,1653257
31,7-2004,0,597427,9354,603556,213813,148905,102949,37943,0,0,1113231,3735,0,133015,9561,14105,135702,844,1666240
32,8-2004,0,555211,9310,685406,189450,151501,104227,41798,0,0,1110116,3621,0,139454,9355,13538,113649,889,1775483
