"","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","fdr[id, 1]","pval","slp"
"319","ACSL1",1030431,6.9083550990541,6.87368129864839,6.7257536709991,6.63725803128446,6.63358155655515,6.78083058540847,6.43566948353208,6.19277140381302,6.3919171133926,5.95790776357914,5.92505761491038,5.97253653722246,0.000399669913814042,6.93791530988814e-08,-0.0853588516916943
"1428","APP",3370577,8.72173275677662,8.63563378860942,8.55675999851825,8.50418900228098,8.53809325552398,8.48621838711681,8.38437011930207,8.39212871026166,8.32319573583273,8.12622252945853,8.04667743105375,8.11483325726149,0.000399669913814042,5.36183372906629e-08,-0.0504395127970328
"7127","CXCL12",4560020,6.37349042348238,6.25862498383897,6.13643031735817,6.09085729098602,6.17607514870541,6.23597812415838,5.48976383111899,5.39271804196952,5.51141058200874,5.02782011885036,4.96911861389332,5.05815481006423,0.000399669913814042,9.36579189486575e-08,-0.125938469599673
"12118","GPNMB",6840164,9.09002413046144,9.01527394323386,8.94625763177473,8.74935198305736,8.68776262844317,8.84422096920945,8.60011789599039,8.47947055558457,8.70127985615686,8.11288741102792,8.07952508826797,8.11228792656659,0.000399669913814042,1.09234134853334e-07,-0.0830775263174985
"18297","KITLG",6900296,4.77659930161562,4.78665806203347,4.81218435537242,4.9177887437299,4.92216831277393,4.91412439371541,5.20839265902005,4.97466263363744,5.19128879378951,5.43415858945945,5.38541207339897,5.45318207710895,0.000399669913814042,8.97526022480513e-08,0.0600323840687998
"18721","LAMA1",2190113,6.23754306970469,6.45802475457596,6.26015491337816,6.01591322751029,5.96665942818901,6.13209567684773,5.70976454633375,5.46848199307136,5.61495126094959,5.20620207764023,5.07704705961551,5.0998664278242,0.000399669913814042,2.76881784772267e-08,-0.112837438110225
"18893","LDLR",1440736,8.82176187902444,8.74892376846774,8.7015293841344,8.50637488398036,8.52924033232691,8.56600240302331,8.41699709493689,8.30251371851416,8.36746272802247,8.12165861198498,8.02486215028641,8.08908362182352,0.000399669913814042,6.6296577039393e-08,-0.0615664663758689
"31067","LSS",6450154,7.42147670586015,7.24494154633701,7.27883596022847,7.0122053803386,7.09845827980401,7.12254402591359,6.95158075852217,6.83162988859265,6.87067627074072,6.49420759468062,6.4377516497364,6.5611720986102,0.000399669913814042,5.67176598697954e-08,-0.0746666046983572
"32087","MGP",1430487,4.59410923862867,4.69226489283902,4.67282883446191,4.69592454925656,4.76217393479776,4.78915702210111,4.99247132346858,4.87443367291585,4.97673374242057,5.14749447681345,5.18458860121969,5.24702407216049,0.000399669913814042,4.29747444996179e-08,0.0518830946346197
"32940","MPP1",5310554,6.19174880427611,6.23734758539168,6.15038952609554,6.02538276531144,6.04547913541422,6.16478740343824,5.92505761491038,5.88137062431091,5.9781259826688,5.59990234416881,5.46932516344172,5.56106617245461,0.000399669913814042,1.16957102797642e-07,-0.0610524597326187
