"","X","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","FDR","P.Value","Slope"
"631",32087,"MGP",1430487,98.9,109.1,107,109.5,117,120.2,147.3,130.9,145,172,178.5,190,0.00123849112349978,4.90364935308526e-08,7.25433070866142
"643",32940,"MPP1",5310554,488.7,511.5,468.9,413.8,422.2,475.7,374.3,358.3,394.7,270.4,237.3,260.1,0.00123849112349978,7.85130564524513e-08,-21.8167979002625
"897",41140,"SLC4A4",5130053,1075.4,889.5,863.3,858.7,894.9,858.4,687.6,590.8,651.1,321.4,305.6,292.5,0.00123849112349978,7.3000341329094e-08,-61.9968503937008
"507",18297,"KITLG",6900296,118.7,119.9,123,136.7,137.3,136.2,182.8,144.7,179.7,229.1,218.2,233.5,0.00144179537649849,1.2186846789075e-07,10.1800524934383
"41",967,"ALPK2",5270519,455.1,332.3,274.5,473.5,627.1,503.8,1056.2,651.1,869.5,1264.9,1374,1358.9,0.001945496736938,3.48833488014756e-07,93.3020997375328
"64",1428,"APP",3370577,6134.8,5628.7,5201.8,4935.4,5105.6,4847.5,4378.1,4412.2,4118.3,3382,3123.4,3343.7,0.001945496736938,3.84224256004106e-07,-218.172703412074
"216",6672,"CRABP2",3400296,264.4,233.1,208.8,247.2,263.5,238,402.7,312.1,402.2,585.9,558.1,596.8,0.001945496736938,2.29384280706111e-07,34.1821522309711
"233",7128,"CXCL12",4610615,220,216.5,215.9,199.4,194.7,219.4,144,142.6,149.5,117.9,104.5,123.4,0.001945496736938,4.93332224145892e-07,-10.2816272965879
"603",31091,"LTF",5550367,151.5,140.4,134.1,168.9,164.5,163.8,198.2,169.8,191.5,219.3,220.7,220.8,0.001945496736938,4.75711743209223e-07,7.16167979002624
"630",32086,"MGP",940735,137.4,132.8,128.6,134.6,152.4,133.1,172.3,163.7,192,233.6,215.1,242.6,0.001945496736938,4.91827210091048e-07,9.61128608923884
"712",35396,"OSR1",3940500,134.6,136.5,133.4,153.6,159.1,166.3,209.2,171.1,214.3,264.4,244.1,239.2,0.001945496736938,3.26460157694898e-07,10.8296587926509
"732",36006,"PDCD4",2570433,1131.9,1053.1,1022.2,913.7,924,967.9,779,604.3,686.8,549.1,487.4,504.1,0.001945496736938,4.40834012445508e-07,-53.1900262467192
"646",32966,"MPZL2",4810026,239.8,208.6,204.7,239.1,255.1,259.8,333.3,337.3,321.5,433.4,380.1,488.8,0.00245462562355646,7.78044172037844e-07,20.902624671916
